Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
La gran cacería,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,2019/11/01,2019,,,,,"Reeditamos la clásica serie de fantasía La Rueda del Tiempo.¡Rand ha sobrevivido a su primer enfrentamiento con los perversos seguidores del Oscuro, pero ni sus amigos ni él están a salvo, ya que el señor del mal ha liberado a los Renegados, mientras los héroes de todas las eras se levantan de la tumba cuando el Cuerno de Valere los saca de su sueño. Al verse obligado a enfrentarse a las fuerzas de la oscuridad, Rand decide escapar de su destino.Pero la profecía tiene que cumplirse.Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta años. El lector que inicie el camino junto a Rand, Mat y Perrin no podrá abandonar el viaje hasta su incierto y sorprendente final.",,,,,,,,,,,720,,,,,,español,,,,,,9788445007013,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:49:26.944026947,,,BIBLIOTECA DANIEL,,,,,mHx5zQEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10208464-L.jpg,
El caballo y el muchacho,,,,,"C. S. Lewis,Gemma Gallart","Lewis, C. S.",,,,,,Destino,,2005/03/01,2005,,,,Juvenile Fiction,"En un viaje desesperado dos fugitivos se encuentran y, con la ayuda de Aslan, aúnan sus fuerzas no sólo para huir sino también para evitar la conspiración que se cierne sobre el rey Archenland. Pero una batalla terrible decidirá su destino y también el de Narnia. Tercera aventura de Las crónicas de Narnia, un clásico de la literatura juvenil, que ha creado escuela en el género fantástico.",,,,,,,,,,,280,,,,,,español,,,,,,9788408057048,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/23 17:22:20.590960979,,,BIBLIOTECA DANIEL,,,,,kMH7AAAACAAJ,,0,0,0,,,
El color de la magia,,,,,Terry Pratchett,"Pratchett, Terry",,,,,,DEBOLSILLO,,2003/04/01,2003,,,,Literary Collections,En esta serie de novelas se dan cita todos los temas y situaciones del género fantástico.,,,,,,,,,,,288,,,,,,español,,,,,,9788497596794,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:38:59.160441040,,,BIBLIOTECA DANIEL,,,,,6xQ6SgAACAAJ,,0,0,0,,,
El desquite,,los años de Aznar (1996-2000),,,Pedro J. Ramírez,"Ramírez, Pedro J.",,,,,,La Esfera de los Libros,Madrid,,2004,,,,Biography & Autobiography,,,,,,,,,,,,654,,,,,,español,,,,,,9788497341813,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/28 17:01:39.389253020,,,,,,,,jQNlAAAAMAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/2F03E119-0497-48D8-9CAD-5ACCC3CEE5B9,
El Iniciado,,,,,Louise Cooper,"Cooper, Louise",,,,,,Círculo de Lectores,,,1990,,,,,,,,,,,,,,,,364,,,,,,español,,,,,,9788422633457,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/29 19:01:15.831154942,,,BIBLIOTECA DANIEL,,,,,WoAZSQAACAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/83451CDD-FF7A-4120-873D-E4B57E8F392C,
"El León, la bruja y el armario",,,,,Clive Staples Lewis,"Lewis, Clive Staples",,,,,,Círculo de Lectores,"Barcelona, España",,2005,,,,the Blitz,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil -- what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia. For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.",,,,,,,,,,,236,,,,,,español,,,,,,9788467215076,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/23 17:21:56.684744954,,,BIBLIOTECA DANIEL,,,,,-QL7zwEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/7360317-L.jpg,
El Loco de Dios en el Fin Del Mundo / God's Madman at the End of the World,,,,,Javier Cercas,"Cercas, Javier",,,,,,Penguin Random House Grupo Editorial,,2025/06/03,2025,,,,Fiction,"El loco de Dios en el fin del mundo es el libro de un escritor en plenitud, que logra convertir una propuesta muy peculiar en un libro magistral.  «El gran novelista español». -Garth Risk Hallberg, The New York Times  «El incontestable jefe de filas de su generación de escritores hispanohablantes[...]. Uno de los escritores más importantes de nuestro tiempo». -Olivier Mony, Sud-Ouest  «Soy ateo. Soy anticlerical. Soy un laicista militante, un racionalista contumaz, un impío riguroso. Pero aquí me tienen, volando en dirección a Mongolia con el anciano vicario de Cristo en la Tierra, dispuesto a interrogarle sobre la resurrección de la carne y la vida eterna. Para eso me he embarcado en este avión: para preguntarle al papa Francisco si mi madre verá a mi padre más allá de la muerte, y para llevarle a mi madre su respuesta. He aquí un loco sin Dios persiguiendo al loco de Dios hasta el fin del mundo».  Este es el arranque fulgurante de este libro único, que nadie había tenido la oportunidad de escribir, entre otras razones porque el Vaticano jamás le había abierto de par en par sus puertas a un escritor. Pero, además de único, este es un libro de plenitud, donde su autor logra convertir una propuesta insólita en un relato propio y magistral: un thriller sobre el mayor misterio de la historia de la Humanidad. Con esta novela sin ficción, Javier Cercas vuelve a su línea más personal, en la que logra enlazar sus obsesiones íntimas con una de las preocupaciones fundamentales de la sociedad actual: el papel en la vida humana de lo espiritual y lo transcendente, el lugar en ella de la religión y el ansia de inmortalidad.  ENGLISH DESCRIPTION  Javier Cercas is an author at the peak of his talent, turning a singular idea into a masterful piece of writing.  ""The great Spanish novelist."" Garth Risk Hallberg, The New York Times  ""I'm an atheist. I'm anticlerical. I am militantly secular, a stubborn rationalist, a committed unbeliever. But here I am, flying to Mongolia with the Vicar of Christ on earth, preparing to question him about the resurrection of the flesh and eternal life. This why I'm on board this plane: to ask Pope Francis if my mother will see my father in the afterlife and report his answer back to her. That's how a godless lunatic like me ended up following God's shepherd to the ends of the earth.""  This is the unexpected origin of a one-of-a-kind book, not least because the Vatican has never given a writer this kind of access before. In El loco de Dios en el fin del mundo, Javier Cercas manages to turn an unusual premise into a masterful and very personal project: a thriller about the greatest mystery in human history. In this non-fiction novel, Cercas interweaves his personal obsessions with some of the fundamental issues facing contemporary society: the role of spirituality and mysticism, religion, and the quest for immortality in human life.",,,,,,,,,,,448,,,,,,español,,,,,,9788439745297,,0,0.000000,Estantería 1.1,Read,,0,,2025/08/03,,,,,,0,,,,,2025/07/30 14:53:15.296172976,,,,,,,,NV4W0QEACAAJ,,0,0,0,,,"[{""status"":0,""activityYear"":2025,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone 11 Javier"",""type"":12,""addedDate"":""2025\/08\/03 10:51:50.468098998"",""activityDate"":""2025\/08\/03""}]"
El Proscrito,,,,,Louise Cooper,"Cooper, Louise",,,,,,Círculo de Lectores,,,1991,,,,,,,,,,,,,,,,367,,,,,,español,,,,,,9788422636199,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:37:40.865471959,,,BIBLIOTECA DANIEL,,,,,xu4WSQAACAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/7A487605-8224-4DA9-A91A-3CB4C0822D33,
El Rescate,,,,,Kathryn Lasky,"Lasky, Kathryn",,,,,,Círculo de Lectores,,,2010,,,,Fantasy,,,,,,,,,,,,211,,,,,,español,,,,,,9788467241792,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:39:29.119353055,,,BIBLIOTECA DANIEL,,,,,YOoeygAACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/7361114-L.jpg,
El trono de fuego / The Throne of Fire,,,,,Rick Riordan,"Riordan, Rick",,,,,,PRH Grupo Editorial,"Navarra, España",2019/07/23,2019,,,,Juvenile Fiction,"Quedan solo cinco días para que una gran serpiente engulla el sol y destruya el mundo. Después, todo se volverá oscuridad...Si alguien ha pensado que pertenecer a una familia de faraones es un chollo, que hablen conmigo o con mi hermana Sadie. Sin tiempo para reponernos de nuestra aventura en la Pirámide Roja, Amos y Bast acaban de encomendarnos otra de sus misiones exprés: despertar a Ra, el primer y más poderoso rey de los dioses. Dicho así, parece fácil, ¿verdad? Pero el problema es que nadie sabe dónde está, porque hace miles de años se retiró a los cielos y no se ha vuelto a saber de él. ¡Ah!, se me olvidaba, tenemos que darnos prisa porque Ra es el único que puede enfrentarse a Apofis -también conocida como «serpiente del caos»-, que está a punto de salir de la cárcel, y entonces... entonces será demasiado tarde.ENGLISH DESCRIPTIONIf you haven't yet read the Kane Chronicles, Rick Riordan's action-adventure trilogy based on Ancient Egyptian mythology, don't miss this paperback edition with new cover art and a Percy Jackson-Kane Chronicles crossover story, ""The Staff of Serapis.""Ever since the gods of Ancient Egypt were unleashed in the modern world, Carter Kane and his sister, Sadie, have been in trouble. As descendants of the House of Life, the Kanes have some powers at their command; but the devious gods haven't given them time to master their skills at Brooklyn House, a training ground for young magicians. And now their most threatening enemy yet--the Chaos snake, Apophis--is rising. If they don't prevent him from breaking free in a few days' time, the world will end. In other words, it's a typical week for the Kane family.To have any chance of battling the forces of Chaos, the Kanes must revive the sun god, Ra. But that would be a feat more difficult than any magician has ever accomplished. First they have to search the world for the Book of Ra, then they have to learn how to chant its spells. Oh, and did we mention that no one knows where Ra is, exactly?Narrated by two different wisecracking voices, featuring a large cast of new and unforgettable characters, and with adventures spanning the globe, this second installment of the Kane Chronicles is nothing short of a thrill ride.",,,,,,,,,,,416,,,,,,español,,,,,,9788484418771,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/23 17:20:35.796066045,,,BIBLIOTECA DANIEL,,,,,kHGREAAAQBAJ,,0,0,0,,,
El Viaje,,,,,Kathryn Lasky,"Lasky, Kathryn",,,,,,Círculo de Lectores,,,2010,,,,Digger (Fictitious character),,,,,,,,,,,,233,,,,,,español,,,,,,9788467241785,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:38:31.047188997,,,BIBLIOTECA DANIEL,,,,,TyrbXwAACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/7361115-L.jpg,
Episodios Nacionales de BENITO PÉREZ GALDÓS. Biblioteca El Mundo.,,El 9 de marzo y el 2 de mayo,Primera,2,Benito Pérez Galdós,"Galdós, Benito Pérez",,,,,,Espada Calpe para grupo Editorial,,,2013,,,,Histórico,,,,,,,,,,,,,,,,,,español,,,,,,9788467028447,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/06 11:29:51.169801950,,,,,,,"Los Episodios nacionales son una serie de 46 novelas históricas escritas por Benito Pérez Galdós entre 1872 y 1912.
Su objetivo era narrar de forma novelada la historia de España desde la batalla de Trafalgar (1805) hasta la Restauración borbónica (1874).

Galdós mezcla personajes ficticios (jóvenes protagonistas que crecen y cambian) con personajes históricos reales (reyes, militares, políticos), creando una especie de “novela histórica nacional” muy viva y accesible.

⸻

🔖 Organización

La obra está dividida en cinco series:
	1.	Primera serie (1805-1814):
	•	Desde Trafalgar hasta la entrada de Fernando VII en Madrid.
	•	Tema central: la Guerra de la Independencia contra Napoleón.
	•	Protagonista recurrente: Gabriel de Araceli, un joven gaditano.
	2.	Segunda serie (1814-1833):
	•	El reinado de Fernando VII, el absolutismo y los conflictos liberales.
	•	Aparece Salvador Monsalud, héroe liberal.
	3.	Tercera serie (1833-1846):
	•	Guerras carlistas y regencias de María Cristina y Espartero.
	•	Gran protagonismo de los conflictos civiles.
	4.	Cuarta serie (1846-1868):
	•	Década moderada, reinado de Isabel II y revolución de 1868 (La Gloriosa).
	•	Narra el deterioro de la monarquía isabelina.
	5.	Quinta serie (1868-1874):
	•	El Sexenio Revolucionario: gobierno provisional, Amadeo de Saboya, Primera República y restauración de Alfonso XII.
	•	Refleja la inestabilidad y las tensiones sociales.",,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/68ACB17D-B3C9-48C6-8DBD-542F6764D5AD,
Episodios Nacionales de BENITO PÉREZ GALDÓS. Biblioteca El Mundo.,,Napoleón en Chamartín. Zaragoza,Primera,3,Benito Pérez Galdós,"Galdós, Benito Pérez",,,,,,Espada Calpe para grupo Editorial,,,2008,,,,Histórico,,,,,,,,,,,,384,,,,,,español,,,,,,9788467028454,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,,,,,,,,"Los Episodios nacionales son una serie de 46 novelas históricas escritas por Benito Pérez Galdós entre 1872 y 1912.
Su objetivo era narrar de forma novelada la historia de España desde la batalla de Trafalgar (1805) hasta la Restauración borbónica (1874).

Galdós mezcla personajes ficticios (jóvenes protagonistas que crecen y cambian) con personajes históricos reales (reyes, militares, políticos), creando una especie de “novela histórica nacional” muy viva y accesible.

⸻

🔖 Organización

La obra está dividida en cinco series:
	1.	Primera serie (1805-1814):
	•	Desde Trafalgar hasta la entrada de Fernando VII en Madrid.
	•	Tema central: la Guerra de la Independencia contra Napoleón.
	•	Protagonista recurrente: Gabriel de Araceli, un joven gaditano.
	2.	Segunda serie (1814-1833):
	•	El reinado de Fernando VII, el absolutismo y los conflictos liberales.
	•	Aparece Salvador Monsalud, héroe liberal.
	3.	Tercera serie (1833-1846):
	•	Guerras carlistas y regencias de María Cristina y Espartero.
	•	Gran protagonismo de los conflictos civiles.
	4.	Cuarta serie (1846-1868):
	•	Década moderada, reinado de Isabel II y revolución de 1868 (La Gloriosa).
	•	Narra el deterioro de la monarquía isabelina.
	5.	Quinta serie (1868-1874):
	•	El Sexenio Revolucionario: gobierno provisional, Amadeo de Saboya, Primera República y restauración de Alfonso XII.
	•	Refleja la inestabilidad y las tensiones sociales.",ZWKUwgEACAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/D38555F4-BC5C-4F55-A2F7-D9A348F7DE5B,
Episodios Nacionales de BENITO PÉREZ GALDÓS. Biblioteca El Mundo.,,Gerona. Cádiz,Primera,4,Benito Pérez Galdós,"Galdós, Benito Pérez",,,,,,Espada Calpe para grupo Editorial,,,2008,,,,,,,,,,,,,,,,384,,,,,,español,,,,,,9788467028461,,0,0.000000,Estantería 1.1,Unread,,0,,,,,,,,0,,,,,2025/09/06 11:37:26.714660048,,,,,,,"Los Episodios nacionales son una serie de 46 novelas históricas escritas por Benito Pérez Galdós entre 1872 y 1912.
Su objetivo era narrar de forma novelada la historia de España desde la batalla de Trafalgar (1805) hasta la Restauración borbónica (1874).

Galdós mezcla personajes ficticios (jóvenes protagonistas que crecen y cambian) con personajes históricos reales (reyes, militares, políticos), creando una especie de “novela histórica nacional” muy viva y accesible.

⸻

🔖 Organización

La obra está dividida en cinco series:
	1.	Primera serie (1805-1814):
	•	Desde Trafalgar hasta la entrada de Fernando VII en Madrid.
	•	Tema central: la Guerra de la Independencia contra Napoleón.
	•	Protagonista recurrente: Gabriel de Araceli, un joven gaditano.
	2.	Segunda serie (1814-1833):
	•	El reinado de Fernando VII, el absolutismo y los conflictos liberales.
	•	Aparece Salvador Monsalud, héroe liberal.
	3.	Tercera serie (1833-1846):
	•	Guerras carlistas y regencias de María Cristina y Espartero.
	•	Gran protagonismo de los conflictos civiles.
	4.	Cuarta serie (1846-1868):
	•	Década moderada, reinado de Isabel II y revolución de 1868 (La Gloriosa).
	•	Narra el deterioro de la monarquía isabelina.
	5.	Quinta serie (1868-1874):
	•	El Sexenio Revolucionario: gobierno provisional, Amadeo de Saboya, Primera República y restauración de Alfonso XII.
	•	Refleja la inestabilidad y las tensiones sociales.",-MnJwgEACAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F27517DE-669D-4D4A-9BF3-99A1DB7B4C1E,
